"Observed Journey ID","Observed Journey","Canonical Journey ID","Canonical Journey","Classification","Variation Dimensions","Evidence","Confidence","Notes","Implementation Maturity"
"8.5","Complete a human plan item","CJ06","resolve_human_judgment_and_approval","variant","human action=perform work rather than decide request; artifact=evidence or note; completion=criterion-backed event",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §8.5; .agents/specs/spec-full.md §10.2 Case engine; .agents/specs/frontend/sea-forge-workbench-api-method-catalog-v0.1.yaml method human_task.complete; crates/sea-forge-server/tests/conformance_m13.rs test t13_2_human_task_waits_for_dispatched_episode_settlement","high","Human task completion varies the human contribution while retaining authority evidence and committed outcome semantics.","exercised"
"8.6","Resolve ACP permission requests","CJ06","resolve_human_judgment_and_approval","variant","interface=ACP; actor=approver; subject=agent tool permission; provider=CLI agent",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §8.6; .agents/specs/spec-agent-orchestration.md §10.4 ACP Sessions; crates/sea-forge-server/tests/conformance_m16.rs test t16_2_permission_allow_and_deny_are_recorded_and_session_survives","high","ACP permission is an interface/provider variant of the same approval fabric, not a parallel permission journey.","exercised"
"8.7","Handle denial and expiry predictably","CJ06","resolve_human_judgment_and_approval","variant","authority outcome=deny or expire; downstream effect=session run item case; recovery path=explicit next action",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §8.7; .agents/specs/spec-full.md §7.2 ApprovalRequest; crates/sea-forge-server/tests/conformance_approvals.rs test an_expired_approval_is_flagged_rather_than_hidden; crates/sea-forge-cli/tests/conformance_m3.rs","high","Denial and expiry are governed terminal or recovery variants of human judgment.","exercised"
"9.1","Execute only after authority","CJ07","execute_governed_work","canonical","capability=any side effect; authority outcome=allow deny or escalate; invariant=decision before effect",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §9.1; .agents/specs/spec-minimum.md §10.2 Authority Gating; crates/sea-forge-authority/tests/conformance_m0_authority.rs; docs/execution/USER_JOURNEY_EVIDENCE.md Journeys 2 and 3","high","Authority-before-effect is the canonical transition into governed execution across executor types.","evidenced"
"9.2","Use the granted sandbox and environment","CJ07","execute_governed_work","specialization","isolation=granted sandbox class; environment=tools network limits secrets; provider=command or agent",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §9.2; .agents/specs/spec-minimum.md §10.3 Sandboxed Execution; crates/sea-forge-sandbox/tests/conformance_m1.rs; docs/execution/USER_JOURNEY_EVIDENCE.md Journey 8d","high","This specializes execution by requiring the actual runtime boundary to equal the grant.","evidenced"
"9.3","Follow non-agent execution","CJ07","execute_governed_work","specialization","executor=command or projection; evidence=progress outputs evaluator artifacts; completion=handoff to settlement",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §9.3; .agents/specs/spec-minimum.md §7.3.6 ExecutionResult; crates/sea-forge-server/src/sfwp/run_views.rs RunRecord; workbench/apps/desktop/src/router.tsx route /runs/$runId; docs/execution/USER_JOURNEY_EVIDENCE.md Journey 8d","high","The executor is non-agent but the governed execution and evidence handoff are unchanged.","evidenced"
"9.4","Configure an agent task","CJ07","execute_governed_work","specialization","executor=agent; provider=eligible endpoint; bounds=model turns tokens timeout retention; artifact=job contract",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §9.4; .agents/specs/spec-agent-orchestration.md §7.3 agent_task parameters; crates/sea-forge-server/src/sfwp/mod.rs method delegation.preview; crates/sea-forge-server/tests/conformance_delegation_preview.rs; workbench/apps/desktop/src/router.tsx route /delegate","high","Agent configuration specializes the execution contract without authorizing or running it during preview.","exercised"
"9.5","Run HTTP or ACP agents under the same fabric","CJ07","execute_governed_work","variant","provider=OpenAI-compatible Anthropic-compatible ACP; executor=agent; authority and settlement=same fabric",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §9.5; .agents/specs/spec-agent-orchestration.md §10.2 and §10.4; crates/sea-forge-server/tests/conformance_m13.rs; crates/sea-forge-server/tests/conformance_m16.rs; docs/execution/REPOSITORY_TRUTH.md §15 External integration state","high","Provider choice is an execution variation; real external ACP host evidence remains release-gated.","exercised"
"9.6","Run SWE_SEED-harnessed coding agents","CJ07","execute_governed_work","variant","provider=SWE_SEED projected host; evidence=route and proof artifacts; assurance=harvested declaration",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §9.6; .agents/specs/spec-agent-orchestration.md §17.5 T16.6; crates/sea-forge-server/tests/conformance_m16.rs; docs/execution/REPOSITORY_TRUTH.md §19 Unverified behavior","high","SWE_SEED changes the provider and proof source; the portable path is exercised while real-host evidence is explicitly unverified.","exercised"
"9.7","Monitor and intervene in agent dialogue","CJ08","monitor_intervene_and_recover","composition","subject=live delegation; control=per-run cancel; cost bounds=turn token stream; sibling scope=preserved",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §9.7; crates/sea-forge-server/src/sfwp/mod.rs method delegation.list; crates/sea-forge-server/tests/conformance_delegations.rs; workbench/apps/desktop/src/pages/DelegationRoster.test.tsx","high","The story composes execution with CJ08; roster and scoped cancel are exercised while live per-turn telemetry remains partial.","exercised"
"9.8","Preserve evidence from every termination","CJ09","evaluate_settle_and_audit_outcomes","composition","termination=success denial timeout violation cap cancel endpoint disconnect; evidence=trace artifacts transcript settlement basis",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §9.8; .agents/specs/spec-minimum.md §14 Failure Model; crates/sea-forge-server/tests/conformance_m13.rs; docs/execution/USER_JOURNEY_EVIDENCE.md Journeys 2 and 8d","high","Execution produces the episode but durable termination evidence serves audit; live evidence covers allow and denial while the full termination matrix is test-exercised.","exercised"
"9.9","Evaluate outcomes rather than claims","CJ09","evaluate_settle_and_audit_outcomes","specialization","executor=command or agent; evidence=immutable criteria and declarations; completion=settled not narrated",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §9.9; .agents/specs/spec-minimum.md §10.4 Settlement Rules; crates/sea-forge-settlement/tests/criteria_provenance.rs; docs/execution/USER_JOURNEY_EVIDENCE.md Journeys 2 and 8d","high","The intention is settlement judgment, so this belongs directly to CJ09 even though it follows execution.","evidenced"
"10.1","Invoke a sponsored manager loop","CJ05","navigate_and_adapt_live_case","composition","interface=Thoth manager; actor=operator or sponsor; bound=max iterations; subject=specific case",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §10.1; .agents/specs/spec-agent-orchestration.md §10.3 Topologies and Manager Loop; crates/sea-forge-cli/tests/conformance_m15.rs","high","Thoth is a bounded composition that adapts a live case; it is not a thirteenth canonical journey.","exercised"
"10.2","See the deterministic case judgment","CJ05","navigate_and_adapt_live_case","specialization","interface=Thoth manager; case judgment=satisfied progressing stalled blocked; evidence=committed refs",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §10.2; .agents/specs/spec-agent-orchestration.md §7.6 ManagerIteration; crates/sea-forge-cli/tests/conformance_m15.rs test t15_5_every_judgment_cites_nonempty_resolvable_claim_refs","high","The judgment is a source-backed orientation over the current case state.","exercised"
"10.3","Review the bounded proposal","CJ04","form_and_commit_governed_case","composition","proposer=Thoth; work source=catalog or discretionary template; bounds=criteria endpoint limits identity",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §10.3; .agents/specs/spec-agent-orchestration.md §10.3; crates/sea-forge-cli/tests/conformance_m15.rs test t15_1_stalled_case_one_iteration_proposes_and_records","high","Reviewing the proposal composes Thoth with case formation because the artifact is still uncommitted candidate work.","exercised"
"10.4","Admit the proposal through normal governance","CJ05","navigate_and_adapt_live_case","specialization","proposer=Thoth; state transition=proposal to discretionary item; authority=normal plan-mutation path",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §10.4; .agents/specs/spec-agent-orchestration.md §17.4 T15.1-T15.2; crates/sea-forge-cli/tests/conformance_m15.rs","high","Admission adapts the live case through the same mutation path used by human proposals.","exercised"
"10.5","Stop or escalate predictably","CJ08","monitor_intervene_and_recover","composition","initiating condition=satisfied or iteration cap; control=stop park escalate; recovery path=human decision",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §10.5; .agents/specs/spec-agent-orchestration.md §14 manager_loop_exhaustion; crates/sea-forge-cli/tests/conformance_m15.rs test t15_3_iteration_cap_reached_parks_and_escalates_without_further_proposals","high","Bounded stop and escalation are intervention and recovery outcomes around a manager-driven case.","exercised"
"10.6","Prevent Thoth self-certification","CJ09","evaluate_settle_and_audit_outcomes","specialization","actor separation=proposer versus approver settler promoter; evidence=immutable proposed_by; authority outcome=refuse self-certification",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §10.6; .agents/specs/spec-agent-orchestration.md §15 Thoth SoD; crates/sea-forge-cli/tests/conformance_m15.rs test t15_4_proposer_cannot_resolve_its_own_proposed_items_approval","high","Self-certification prevention is an audit and settlement integrity constraint.","exercised"
"11.1","Watch the live event stream","CJ08","monitor_intervene_and_recover","canonical","actor=operator; interface=ordered filterable stream; evidence=committed records; freshness=cursor",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §11.1; .agents/specs/frontend/sea-forge-workbench-api-method-catalog-v0.1.yaml method events.subscribe; crates/sea-forge-server/src/sfwp/mod.rs methods events.subscribe and events.get_range; crates/sea-forge-server/tests/conformance_sfwp.rs; docs/execution/USER_JOURNEY_EVIDENCE.md Journey 8c","high","The source-backed stream is canonical; package evidence shows subscription while ordered delivery and recovery are test-exercised.","exercised"
"11.2","See parallel work and capacity","CJ08","monitor_intervene_and_recover","specialization","concurrency=episodes and siblings; capacity=shared semaphore; block type=capacity authority or dependency",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §11.2; .agents/specs/spec-agent-orchestration.md §13 Repeatability and Variation; crates/sea-forge-server/tests/conformance_topology.rs; crates/sea-forge-server/tests/conformance_m13.rs test t13_2_server_semaphore_caps_concurrent_delegations","high","Concurrency and saturation specialize monitoring by scheduling state.","exercised"
"11.3","Receive actionable notifications","CJ08","monitor_intervene_and_recover","specialization","interface=notification; event=approval failure cancellation completion; next decision=linked action",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §11.3; .agents/specs/spec-full.md §10.3 Operator loop; crates/sea-forge-server/tests/conformance_lifecycle.rs test an_invalid_reload_publishes_an_operator_visible_event; workbench/apps/desktop/src/hooks/eventKinds.test.ts","medium","Committed events and UI invalidation exist, but a complete actionable notification center remains unsurfaced.","implemented"
"11.4","Cancel scoped work","CJ08","monitor_intervene_and_recover","specialization","control=cancel one run; sibling scope=preserved; artifact=durable control and settlement records",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §11.4; .agents/specs/spec-agent-orchestration.md §13 Recovery; crates/sea-forge-server/tests/conformance_m13.rs test t13_3_cancel_one_of_three_siblings_settle_normally; crates/sea-forge-server/tests/conformance_delegations.rs","high","Scoped cancellation is a primary intervention within CJ08.","exercised"
"11.5","Resume parked cases","CJ08","monitor_intervene_and_recover","specialization","initiating condition=resolved approval or resumable block; state transition=parked to active; artifact=committed state reused",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §11.5; .agents/specs/spec-full.md §10.3 Operator loop; crates/sea-forge-cli/tests/conformance_m3.rs","high","Resume continues committed state rather than starting a new case.","exercised"
"11.6","Recover after interruption","CJ08","monitor_intervene_and_recover","specialization","initiating condition=process restart; run standing=active interrupted orphaned unsettled; recovery=resume or settle",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §11.6; .agents/specs/spec-minimum.md §14.3 Recovery Behavior; crates/sea-forge-server/tests/conformance_run_locator.rs; docs/execution/USER_JOURNEY_EVIDENCE.md Journeys 5 and 8b","high","Restart recovery is a core CJ08 path and must not hide or duplicate work.","evidenced"
"11.7","Reactivate earlier developmental work","CJ08","monitor_intervene_and_recover","composition","lifecycle=ADLC stage; initiating condition=rejection drift activation failure remediation; recovery=earlier stage",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §11.7; .agents/specs/spec-adlc-thoth-minimum.md §13 ADLC template reactivation; crates/sea-forge-planner/tests/conformance_m10.rs","high","Recovery drives a CJ05 case adaptation through a CJ11 maturity loop; CJ08 remains primary because reactivation follows failure evidence.","exercised"
"11.8","Create a new lawful path after failure","CJ08","monitor_intervene_and_recover","specialization","initiating condition=typed failure; evidence=boundary side-effect status missing condition; next decision=retry replan change endpoint or escalate",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §11.8; .agents/specs/spec-minimum.md §14 Failure Model and Recovery Strategy; crates/sea-forge-server/src/sfwp/run_views.rs RunRecord; crates/sea-forge-server/tests/conformance_run_views.rs","high","The completion condition is a diagnosed failure with an explicit lawful recovery choice.","exercised"
"12.1","Inspect one linked run record","CJ09","evaluate_settle_and_audit_outcomes","canonical","actor=operator or auditor; artifact=linked run record; evidence=authority trace artifacts declarations settlement",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §12.1; .agents/specs/spec-minimum.md §12.1 Required Evidence Artifacts; crates/sea-forge-server/src/sfwp/mod.rs method run.get; crates/sea-forge-server/tests/conformance_run_views.rs; workbench/apps/desktop/src/pages/RunRecordPage.test.tsx; docs/execution/USER_JOURNEY_EVIDENCE.md Journeys 2 and 8c","high","The complete source-linked episode view is the canonical entry to evaluation settlement and audit.","evidenced"
"12.2","Verify artifact and transcript identity","CJ09","evaluate_settle_and_audit_outcomes","specialization","artifact=bytes transcript and descriptors; assurance=hash ownership license lineage; disclosure=policy bounded",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §12.2; .agents/specs/spec-minimum.md §10.6 Artifact Identity and Governance Metadata; crates/sea-forge-server/tests/conformance_m13.rs test t13_transcript_artifact_hash_verifies; docs/execution/USER_JOURNEY_EVIDENCE.md Journeys 3 and 8d","high","Live proofs cover artifact hashes; transcript identity and disclosure variants remain test-exercised.","exercised"
"12.3","Compare criteria with evidence","CJ09","evaluate_settle_and_audit_outcomes","specialization","subject=immutable criteria; evidence=paired pass fail unavailable basis; actor=reviewer",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §12.3; .agents/specs/spec-minimum.md §10.4 Settlement Rules; crates/sea-forge-server/tests/conformance_run_views.rs test each_criterion_pairs_with_the_settlements_own_basis_token","high","Criterion-evidence pairing is the core evaluative operation inside CJ09.","exercised"
"12.4","Distinguish execution termination from settlement","CJ09","evaluate_settle_and_audit_outcomes","variant","execution standing=termination reason; settlement standing=accepted rejected escalated; completion=independent display",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §12.4; .agents/specs/spec-minimum.md §10.4 Settlement Rules; crates/sea-forge-server/tests/conformance_run_views.rs test execution_termination_and_settlement_are_reported_as_separate_facts; docs/execution/USER_JOURNEY_EVIDENCE.md Journey 2","high","Two independent standings are a required audit variant, including false-success and cancellation cases.","evidenced"
"12.5","Inspect declaration standing and reliability","CJ09","evaluate_settle_and_audit_outcomes","specialization","subject=settlement declaration; actor=auditor; assurance=standing independence weight policy snapshot",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §12.5; .agents/specs/spec-full.md §7.2.1 SettlementAuthority / SettlementDeclaration; crates/sea-forge-server/src/sfwp/run_views.rs DeclarationRow; crates/sea-forge-capability/tests/conformance_m4a.rs","high","Declaration strength and independence are specialized inputs to settlement audit.","exercised"
"12.6","Detect invalid provenance or self-declaration","CJ09","evaluate_settle_and_audit_outcomes","specialization","failure=mismatched criteria broken origin missing evidence self-certification; consequence=exclude weight; recovery=fresh qualifying proof",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §12.6; .agents/specs/spec-full.md §10.4 Settlement integrity; crates/sea-forge-capability/tests/conformance_m4a.rs","high","Invalid proof is rejected during evaluation so weak evidence cannot promote capability.","exercised"
"12.7","Verify ledger inclusion and consistency","CJ09","evaluate_settle_and_audit_outcomes","specialization","artifact=ledger entry checkpoint witness receipt; assurance=inclusion and consistency proof; mutation=none",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §12.7; .agents/specs/spec-full.md §7.0c Integrity ledger and record identity; crates/sea-forge-ledger/tests/conformance_m0_ledger.rs; docs/execution/USER_JOURNEY_EVIDENCE.md Journey 3","high","The ledger conformance suite exercises inclusion and consistency; the live minimum proof is narrower than the complete story.","exercised"
"12.8","Replay ordered case execution","CJ09","evaluate_settle_and_audit_outcomes","specialization","subject=case and parallel dispatch ordering; evidence=ledger ordinals; completion=deterministic replay",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §12.8; .agents/specs/spec-agent-orchestration.md §12 Evidence Proof and Observability; crates/sea-forge-server/tests/conformance_m13.rs test t13_2_replay_matches_persisted_order","high","Replay specializes audit by reconstructing the causal sequence behind a result.","exercised"
"12.9","Inspect authority and disclosure history","CJ09","evaluate_settle_and_audit_outcomes","specialization","subject=authority approval ACP Thoth disclosure configuration; interface=search; actor=auditor",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §12.9; .agents/specs/frontend/sea-forge-workbench-api-method-catalog-v0.1.yaml methods audit.search and audit.get; docs/execution/ARCHITECTURAL_TRUTH.md Data Flow","high","Typed source records exist, but the cataloged cross-family audit search is not in IMPLEMENTED_METHODS.","specified"
"12.10","Access machine-readable source records","CJ09","evaluate_settle_and_audit_outcomes","variant","interface=machine-readable records; consumer=auditor or integrator; freshness=rebuild source refs",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §12.10; .agents/specs/spec-minimum.md §12.1 Required Evidence Artifacts; crates/sea-forge-server/src/sfwp/run_views.rs SourceRecordRef; docs/execution/REPOSITORY_TRUTH.md §10 Persistence state; docs/execution/USER_JOURNEY_EVIDENCE.md Journey 8d","high","Machine-readable access varies the interface while the authoritative audit subject remains identical.","evidenced"
"13.1","Recall relevant memory under authority","CJ10","reuse_demonstrated_knowledge_and_capability","canonical","actor=operator; subject=settled memory; authority=disclosure before retrieval; query=content kind entity process session result case",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §13.1; .agents/specs/spec-full.md §10.5 Governed semantic memory; crates/sea-forge-capability/tests/conformance_m4b.rs; crates/sea-forge-cli/tests/conformance_m4b.rs","high","Authority-scoped recall is the canonical entry from demonstrated history into future work.","exercised"
"13.2","See which memory influenced work","CJ10","reuse_demonstrated_knowledge_and_capability","specialization","artifact=recall influence links; lifecycle stage=plan time or run time; evidence=resulting plan decision settlement",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §13.2; .agents/specs/spec-full.md §7.5 MemoryItem / RecallRequest; crates/sea-forge-capability/tests/conformance_m4b.rs","high","Influence provenance specializes reuse by exposing how recalled evidence changed governed work.","exercised"
"13.3","Preserve truth when the index is stale","CJ10","reuse_demonstrated_knowledge_and_capability","variant","initiating condition=missing or stale index; source=authoritative records; recovery=fallback scan or rebuild",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §13.3; .agents/specs/spec-full.md §10.5 Governed semantic memory; crates/sea-forge-capability/tests/conformance_m4b.rs index-delete equivalence test","high","Index failure varies performance and recovery only; it cannot change recalled truth.","exercised"
"13.4","Inspect a capability record","CJ10","reuse_demonstrated_knowledge_and_capability","specialization","subject=capability ladder and qualifying settlements; assurance=attempted demonstrated proven degraded quarantined contracted; interface=record view",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §13.4; .agents/specs/spec-full.md §7.3 CapabilityRecord; crates/sea-forge-capability/tests/conformance_m4a.rs; workbench/apps/desktop/src/router.tsx route /capabilities; docs/execution/REPOSITORY_TRUTH.md §7 Frontend state","high","The capability projection and tests exist, but the current Workbench route remains preview-only.","implemented"
"13.5","Understand variation, recovery, and burden","CJ10","reuse_demonstrated_knowledge_and_capability","specialization","subject=capability quality; variation=context coverage; recovery=regression response; burden=orchestration",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §13.5; .agents/specs/spec-full.md §7.3 CapabilityRecord; crates/sea-forge-capability/tests/conformance_m4a.rs","high","These dimensions prevent a narrow or expensive success from being reused as broad proof.","exercised"
"13.6","Understand promotion or contraction","CJ10","reuse_demonstrated_knowledge_and_capability","specialization","state transition=promote or contract; evidence=policy declarations thresholds exclusions regressions; next decision=route or gather evidence",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §13.6; .agents/specs/spec-full.md §10.4 Settlement integrity and capability memory; crates/sea-forge-capability/tests/conformance_m4a.rs","high","Capability maturity changes are derived from qualifying evidence and retain their explanatory basis.","exercised"
"13.7","Rebuild memory and capability views","CJ10","reuse_demonstrated_knowledge_and_capability","variant","initiating condition=missing stale or suspect projection; artifact=rebuildable views; source=authoritative records; completion=deterministic equivalence",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §13.7; .agents/specs/spec-full.md §10.5 Governed semantic memory; crates/sea-forge-capability/tests/conformance_m4a.rs; crates/sea-forge-capability/tests/conformance_m4b.rs","high","Rebuild is the repair variant of reuse and never promotes the derived store to truth.","exercised"
"13.8","Use capability in routing and Thoth answers","CJ10","reuse_demonstrated_knowledge_and_capability","composition","consumer=case routing or Thoth; subject=same capability record; next decision=gate plan or explain standing",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §13.8; .agents/specs/spec-full.md §10.4 Settlement integrity and capability memory; .agents/specs/spec-adlc-thoth-minimum.md §10.2 Claim derivation; crates/sea-forge-capability/tests/conformance_m4a.rs","high","The reuse artifact is canonical while routing and Thoth are downstream interface compositions.","exercised"
"14.1","Run a governed projection","CJ11","transform_and_mature_governed_artifacts","canonical","actor=domain or case owner; capability=deterministic projection; artifact=validated hash-linked output; adapter=versioned",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §14.1; .agents/specs/spec-full.md §10.4a DomainForge semantic integration and projection; crates/sea-forge-domainforge/tests/projection.rs; crates/sea-forge-spec-pipeline/tests/conformance_m5.rs","high","A governed projection is the clearest canonical transformation from pinned source to evidenced derived artifact.","exercised"
"14.2","Navigate the spec-to-code pipeline","CJ11","transform_and_mature_governed_artifacts","specialization","lifecycle stage=ADR PRD SDS .sea graph manifest contract last-mile acceptance; evidence=per-stage settlement",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §14.2; .agents/specs/spec-full.md §10.7 Spec-to-code pipeline; crates/sea-forge-spec-pipeline/tests/conformance_m5.rs; crates/sea-forge-cli/tests/conformance_m5.rs","high","The pipeline specializes artifact transformation across a fixed stage chain.","exercised"
"14.3","Quarantine invalid generated output","CJ11","transform_and_mature_governed_artifacts","variant","authority outcome=quarantine; failure=malformed invalid drifted unverifiable; next decision=rework",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §14.3; .agents/specs/spec-full.md §10.7 Spec-to-code pipeline; crates/sea-forge-spec-pipeline/tests/conformance_m5.rs","high","Quarantine is the fail-closed outcome variant of artifact transformation.","exercised"
"14.4","Distinguish generated output from runtime readiness","CJ11","transform_and_mature_governed_artifacts","specialization","artifact=generated contract versus handwritten binding; assurance=separate settlement; completion=runtime acceptance not file creation",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §14.4; .agents/specs/spec-full.md §10.7 Spec-to-code pipeline; crates/sea-forge-spec-pipeline/tests/conformance_m5.rs proof classification tests; docs/execution/ARCHITECTURAL_TRUTH.md What Usable Means","high","Separate maturity claims prevent generated bytes from teleporting to runnable capability.","exercised"
"14.5","Browse artifact identity and lineage","CJ11","transform_and_mature_governed_artifacts","specialization","subject=artifact descriptor and lineage; maturity=type lifecycle review license attestation; interface=artifact view",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §14.5; .agents/specs/spec-full.md §7.8a and §7.9 Artifact identity and state; .agents/specs/frontend/sea-forge-workbench-api-method-catalog-v0.1.yaml methods artifact.list and artifact.get; workbench/apps/desktop/src/router.tsx route /artifacts","high","Artifact records and transition logic exist, but the current Workbench artifact browser is preview-only.","implemented"
"14.6","Synthesize cognitive material","CJ11","transform_and_mature_governed_artifacts","variant","transition=synthesize; source maturity=cognitive; target maturity=intellectual; mode=derive or promote",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §14.6; .agents/specs/spec-full.md §10.8 Artifact-to-IP pipeline; crates/sea-forge-artifact-ip/tests/conformance_m8.rs; crates/sea-forge-cli/tests/conformance_m8_artifact.rs","high","Synthesis varies the maturity transition and source/target stages within CJ11.","exercised"
"14.7","Productize intellectual property","CJ11","transform_and_mature_governed_artifacts","variant","transition=productize; source maturity=intellectual; target maturity=product; packaging=distinct from recognition",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §14.7; .agents/specs/spec-full.md §10.8 Artifact-to-IP pipeline; crates/sea-forge-artifact-ip/tests/conformance_m8.rs; crates/sea-forge-cli/tests/conformance_m8_artifact.rs","high","Productization is a maturity-stage variation, not a new interaction grammar.","exercised"
"14.8","Capitalize a product","CJ11","transform_and_mature_governed_artifacts","variant","transition=capitalize; source maturity=product; target maturity=capital; authority=owner and independent approver; evidence=reuse or value",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §14.8; .agents/specs/spec-full.md §10.8 Artifact-to-IP pipeline; crates/sea-forge-artifact-ip/tests/conformance_m8.rs; crates/sea-forge-cli/tests/conformance_m8_artifact.rs","high","Capitalization varies the gate and evidence burden while preserving the canonical maturity transition.","exercised"
"14.9","Preview and satisfy stage gates","CJ11","transform_and_mature_governed_artifacts","specialization","state transition=candidate to eligible or blocked; gates=semantic evidence review ownership license attestation reuse approval; next decision=request or repair",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §14.9; .agents/specs/spec-full.md §7.9 Artifact registration state and TransitionToken; crates/sea-forge-artifact-ip/tests/conformance_m8.rs","high","Gate preview is the reversible decision step before an artifact maturity transition.","exercised"
"14.10","Verify TransitionTokens and prevent teleportation","CJ11","transform_and_mature_governed_artifacts","specialization","artifact=TransitionToken; assurance=predecessor chain mode gate authority evidence hashes; failure=skipped or rewritten lineage",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §14.10; .agents/specs/spec-full.md §7.9 Artifact registration state and TransitionToken; crates/sea-forge-artifact-ip/tests/conformance_m8.rs","high","Token verification enforces legal predecessor transitions and content identity across maturity changes.","exercised"
"15.1","Export a verifiable cell bundle","CJ12","transfer_and_adopt_governed_assets","canonical","actor=cell administrator; transfer direction=export; artifact=hash-verifiable bundle; subject=selected records and assets",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §15.1; .agents/specs/spec-full.md §7.4 SeaCell / bundle; crates/sea-forge-cell/tests/conformance_m6.rs; crates/sea-forge-cli/tests/task17_closeout.rs","high","Verifiable export is the canonical entry to crossing a cell boundary without losing provenance.","exercised"
"15.2","Import a bundle atomically","CJ12","transfer_and_adopt_governed_assets","specialization","transfer direction=import; state transition=external bundle to isolated local history; atomicity=all or none",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §15.2; .agents/specs/spec-full.md §7.4 SeaCell / bundle; crates/sea-forge-cell/tests/conformance_m6.rs","high","Atomic verification is the admission step of the transfer journey.","exercised"
"15.3","Keep imported history distinct","CJ12","transfer_and_adopt_governed_assets","specialization","artifact=imported records and runs; provenance=external cell; capability effect=none on local proof",".agents/specs/frontend/sea-forge-governed-workbench-ux-epic-v0.1.md §15.3; .agents/specs/spec-full.md §7.4 SeaCell / bundle; crates/sea-forge-cell/tests/conformance_m6.rs capability-count-unchanged test","high","Distinct history preserves provenance and prevents external observations from inflating local capability.","exercised"
